Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,
43,Synthetix,SNX,433237392.00,4.10,"105,640,645",SNX,76715612.00,0.0018,-0.0424,-0.0676,0.18,-4.24,-6.76,100,
44,Ontology,ONT,361141822.00,0.46,"778,570,209",ONT,80253862.00,0.0007,-0.0297,-0.0139,0.07,-2.97,-1.39,100,
45,Dogecoin,DOGE,352792281.00,0.00,"127,113,595,174",DOGE,25131683.00,-0.0005,0.0009,0.0239,-0.05,0.09,2.39,100,
46,FTX Token,FTT,338671738.00,3.59,"94,346,958",FTT,2188209.00,0.0027,-0.0204,0.0121,0.27,-2.04,1.21,100,
47,Kusama,KSM,299595482.00,35.37,"8,470,098",KSM,26412218.00,0.0002,-0.048,0.0731,0.02,-4.8,7.31,100,
48,Basic Attention Token,BAT,290371366.00,0.19,"1,495,310,562",BAT,86811288.00,0.0094,-0.0103,-0.0207,0.94,-1.03,-2.07,100,
49,Algorand,ALGO,288951421.00,0.25,"1,133,651,056",ALGO,57838422.00,0.0042,-0.0412,-0.0436,0.42,-4.12,-4.36,100,
50,BitTorrent,BTT,287475153.00,0.00,"989,990,899,489",BTT,41083076.00,-0.0017,-0.0029,-0.0182,-0.17,-0.29,-1.82,100,
51,HUSD,HUSD,281790985.00,1.00,"281,854,722",HUSD,25210992.00,0.0007,0.0014,0.0012,0.07,0.14,0.12,100,
52,TrueUSD,TUSD,279854741.00,1.00,"280,093,013",TUSD,70471550.00,0.0002,0.0008,-0.0008,0.02,0.08,-0.08,100,
53,OKB,OKB,278845228.00,4.65,"60,000,000",OKB,64611855.00,0.0031,-0.0164,-0.0067,0.31,-1.64,-0.67,100,
54,Ren,REN,269915984.00,0.31,"884,532,525",REN,40684052.00,-0.0040,-0.0071,-0.01,-0.4,-0.71,-1,100,
55,HedgeTrade,HEDG,254173351.00,0.75,"339,231,468",HEDG,258788.00,0.1122,-0.0567,-0.2263,11.22,-5.67,-22.63,100,
56,0x,ZRX,267010223.00,0.36,"743,937,911",ZRX,28442418.00,0.0289,-0.0411,0.0084,2.89,-4.11,0.84,100,
57,NEAR Protocol,NEAR,258468855.00,0.83,"312,613,107",NEAR,23586785.00,0.0119,-0.0506,0.0142,1.19,-5.06,1.42,100,
58,DigiByte,DGB,252943661.00,0.02,"13,749,751,833",DGB,7181434.00,0.0055,-0.0337,-0.1279,0.55,-3.37,-12.79,100,
59,Paxos Standard,PAX,243998178.00,1.00,"244,951,954",PAX,144821449.00,-0.0035,-0.0012,-0.0015,-0.35,-0.12,-0.15,100,
60,Decred,DCR,236573408.00,19.31,"12,253,052",DCR,12410248.00,0.0065,0.0406,0.1387,0.65,4.06,13.87,100,
61,ABBC Coin,ABBC,225224422.00,0.28,"791,564,835",ABBC,61496203.00,-0.0084,-0.0477,-0.0164,-0.84,-4.77,-1.64,100,
62,Energy Web Token,EWT,218182890.00,7.26,"30,062,138",EWT,505246.00,0.0060,0.0029,-0.1259,0.6,0.29,-12.59,100,
