Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,273.600006,302.399994,273.600006,302.399994,302.399994,0
2013-01-03,302.399994,316.799988,288.000000,316.799988,316.799988,0
2013-01-04,316.799988,338.399994,266.399994,324.000000,324.000000,0
2013-01-07,324.000000,324.000000,280.799988,288.000000,288.000000,0
2013-01-08,309.600006,309.600006,280.799988,309.600006,309.600006,0
2013-01-09,309.600006,309.600006,280.799988,309.600006,309.600006,0
2013-01-10,266.399994,288.000000,259.200012,273.600006,273.600006,0
2013-01-11,288.000000,302.399994,273.600006,302.399994,302.399994,0
2013-01-14,273.600006,309.600006,266.399994,280.799988,280.799988,0
2013-01-15,259.200012,280.799988,259.200012,280.799988,280.799988,0
2013-01-16,302.399994,324.000000,259.200012,266.399994,266.399994,0
2013-01-17,259.200012,288.000000,259.200012,288.000000,288.000000,0
2013-01-18,273.600006,280.799988,273.600006,280.799988,280.799988,0
2013-01-22,266.399994,288.000000,266.399994,288.000000,288.000000,0
2013-01-23,259.200012,280.799988,259.200012,280.799988,280.799988,0
2013-01-24,259.200012,324.000000,259.200012,324.000000,324.000000,0
2013-01-25,273.600006,324.000000,266.399994,288.000000,288.000000,0
2013-01-28,273.600006,288.000000,273.600006,288.000000,288.000000,0
2013-01-29,266.399994,309.600006,266.399994,273.600006,273.600006,0
2013-01-30,302.399994,309.600006,273.600006,302.399994,302.399994,0
2013-01-31,302.399994,324.000000,302.399994,302.399994,302.399994,0
2013-02-01,302.399994,316.799988,259.200012,259.200012,259.200012,0
2013-02-04,259.200012,259.200012,230.399994,237.600006,237.600006,0
2013-02-05,230.399994,259.200012,230.399994,237.600006,237.600006,0
2013-02-06,223.199997,252.000000,208.800003,230.399994,230.399994,0
2013-02-07,208.800003,230.399994,194.399994,223.199997,223.199997,0
2013-02-08,223.199997,244.800003,187.199997,244.800003,244.800003,0
2013-02-11,237.600006,244.800003,201.600006,230.399994,230.399994,0
2013-02-12,230.399994,230.399994,194.399994,223.199997,223.199997,0
2013-02-13,230.399994,230.399994,201.600006,223.199997,223.199997,0
2013-02-14,223.199997,244.800003,216.000000,244.800003,244.800003,0
2013-02-15,201.600006,244.800003,201.600006,208.800003,208.800003,0
2013-02-19,259.200012,259.200012,223.199997,244.800003,244.800003,0
2013-02-20,244.800003,244.800003,216.000000,216.000000,216.000000,0
2013-02-21,223.199997,244.800003,216.000000,244.800003,244.800003,0
