Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,Size
52,TrueUSD,TUSD,279854741,1,"280,093,013",TUSD,70471550,0.0002,0.0008,-0.0008,0.02,0.08,-0.08,100,medium
53,OKB,OKB,278845228,4.65,"60,000,000",OKB,64611855,0.0031,-0.0164,-0.0067,0.31,-1.64,-0.67,100,medium
54,Ren,REN,269915984,0.31,"884,532,525",REN,40684052,-0.004,-0.0071,-0.01,-0.4,-0.71,-1,100,medium
55,HedgeTrade,HEDG,254173351,0.75,"339,231,468",HEDG,258788,0.1122,-0.0567,-0.2263,11.22,-5.67,-22.63,100,medium
56,0x,ZRX,267010223,0.36,"743,937,911",ZRX,28442418,0.0289,-0.0411,0.0084,2.89,-4.11,0.84,100,medium
57,NEAR Protocol,NEAR,258468855,0.83,"312,613,107",NEAR,23586785,0.0119,-0.0506,0.0142,1.19,-5.06,1.42,100,medium
58,DigiByte,DGB,252943661,0.02,"13,749,751,833",DGB,7181434,0.0055,-0.0337,-0.1279,0.55,-3.37,-12.79,100,medium
59,Paxos Standard,PAX,243998178,1,"244,951,954",PAX,144821449,-0.0035,-0.0012,-0.0015,-0.35,-0.12,-0.15,100,medium
60,Decred,DCR,236573408,19.31,"12,253,052",DCR,12410248,0.0065,0.0406,0.1387,0.65,4.06,13.87,100,medium
61,ABBC Coin,ABBC,225224422,0.28,"791,564,835",ABBC,61496203,-0.0084,-0.0477,-0.0164,-0.84,-4.77,-1.64,100,medium
62,Energy Web Token,EWT,218182890,7.26,"30,062,138",EWT,505246,0.006,0.0029,-0.1259,0.6,0.29,-12.59,100,medium
63,Ocean Protocol,OCEAN,218603836,0.53,"414,026,837",OCEAN,18021221,-0.0081,-0.031,0.0291,-0.81,-3.1,2.91,100,medium
64,Celo,CELO,211565789,1.7,"124,447,717",CELO,1397736,0.0101,-0.0211,0.1774,1.01,-2.11,17.74,100,medium
65,Zilliqa,ZIL,211814986,0.02,"10,640,925,495",ZIL,24972088,0.0058,-0.0094,0.0355,0.58,-0.94,3.55,100,medium
66,Loopring,LRC,201588163,0.18,"1,145,982,211",LRC,18521751,0.0024,-0.0135,0.2102,0.24,-1.35,21.02,100,medium
67,ICON,ICX,195901712,0.34,"572,773,754",ICX,17765693,0.0005,-0.0307,0.0119,0.05,-3.07,1.19,100,medium
68,Qtum,QTUM,192560957,1.98,"97,394,216",QTUM,255918273,0.0007,-0.03,-0.021,0.07,-3,-2.1,100,medium
69,Hedera Hashgraph,HBAR,188072729,0.03,"6,014,452,876",HBAR,8987159,0.0115,-0.0191,0.0328,1.15,-1.91,3.28,100,medium
70,Quant,QNT,186629036,15.46,"12,072,738",QNT,3966689,0.0066,-0.0205,0.1579,0.66,-2.05,15.79,100,medium
71,SushiSwap,SUSHI,189287081,1.25,"151,939,827",SUSHI,202407463,0.0568,0.1792,0.9473,5.68,17.92,94.73,100,medium
72,Kyber Network,KNC,178277898,0.89,"200,537,940",KNC,26494678,0.0056,-0.003,0.0867,0.56,-0.3,8.67,100,medium
73,Blockstack,STX,164025389,0.24,"684,097,370",STX,1983488,-0.0036,-0.0339,0.2536,-0.36,-3.39,25.36,100,medium
74,Reserve Rights,RSR,144763579,0.02,"9,349,999,000",RSR,74722015,0.0157,-0.0402,0.0727,1.57,-4.02,7.27,100,medium
75,Ampleforth,AMPL,141535081,1.02,"138,316,918",AMPL,2986805,0.0042,-0.0848,-0.1516,0.42,-8.48,-15.16,100,medium
76,THORChain,RUNE,139789027,0.88,"158,432,088",RUNE,39313812,0.0324,0.0537,0.5376,3.24,5.37,53.76,100,medium
77,Lisk,LSK,135537979,1.07,"126,413,228",LSK,3243058,0.0107,-0.023,-0.0322,1.07,-2.3,-3.22,100,medium
78,Bitcoin Gold,BTG,129744059,7.41,"17,513,924",BTG,5898864,0.0064,-0.0353,-0.0127,0.64,-3.53,-1.27,100,medium
79,Aragon,ANT,127846528,3.23,"39,609,523",ANT,15050784,0.0057,-0.025,0.0383,0.57,-2.5,3.83,100,medium
80,NXM,NXM,126400853,23.93,"5,283,196",NXM,25445406,0.0026,0.0331,0.0774,0.26,3.31,7.74,100,medium
81,Augur,REP,126111161,11.46,"11,000,000",REP,4872877,0.0143,-0.1729,-0.1362,1.43,-17.29,-13.62,100,medium
82,Revain,REV,120496467,0.01,"11,484,410,729",REV,327264,0.0061,0.0022,0.0024,0.61,0.22,0.24,100,medium
83,Terra,LUNA,118797035,0.31,"385,670,306",LUNA,5285322,0.0037,0.0089,0.0165,0.37,0.89,1.65,100,medium
84,Siacoin,SC,118412358,0,"45,044,032,992",SC,2941854,0.0011,-0.0184,-0.015,0.11,-1.84,-1.5,100,medium
85,Enjin Coin,ENJ,118855714,0.14,"823,130,411",ENJ,8163660,0.0165,0.0186,0.0573,1.65,1.86,5.73,100,medium
86,The Midas Touch Gold,TMTG,118092480,0.02,"6,954,022,898",TMTG,4211676,0.001,-0.0652,-0.19,0.1,-6.52,-19,100,medium
87,Decentraland,MANA,116878356,0.08,"1,483,903,742",MANA,31731142,0.0153,-0.0106,-0.0913,1.53,-1.06,-9.13,100,medium
88,ZB Token,ZB,114825818,0.25,"463,288,810",ZB,7869118,0.0069,-0.0056,-0.0104,0.69,-0.56,-1.04,100,medium
89,Band Protocol,BAND,113042852,5.52,"20,494,033",BAND,77440429,0.0024,-0.0319,-0.024,0.24,-3.19,-2.4,100,medium
90,Nexo,NEXO,111101633,0.2,"560,000,011",NEXO,8282483,-0.0253,-0.0349,0.1945,-2.53,-3.49,19.45,100,medium
91,Numeraire,NMR,105819289,23.82,"4,441,757",NMR,5464253,0.0163,-0.0005,0.0272,1.63,-0.05,2.72,100,medium
92,Elrond,EGLD,103971314,7.58,"13,710,605",EGLD,3487645,0.0048,0.0107,-0.0814,0.48,1.07,-8.14,100,medium
93,Golem,GNT,99007090,0.1,"990,670,000",GNT,5713193,0.0033,0.0018,0.115,0.33,0.18,11.5,100,medium
94,Nano,NANO,97435243,0.73,"133,248,297",NANO,4582744,0.0047,-0.0287,-0.0608,0.47,-2.87,-6.08,100,medium
95,Ravencoin,RVN,95734809,0.01,"7,482,875,000",RVN,3880689,-0.002,0.0049,0.0267,-0.2,0.49,2.67,100,medium
96,DxChain Token,DX,94525530,0,"50,000,000,000",DX,458793,-0.0027,-0.0341,0.0362,-0.27,-3.41,3.62,100,medium
97,Solana,SOL,93803904,2.04,"45,909,527",SOL,18621333,0.0134,0.0658,-0.0526,1.34,6.58,-5.26,100,medium
98,Curve DAO Token,CRV,93526518,0.78,"120,200,945",CRV,122036928,0.0139,0.096,0.6527,1.39,9.6,65.27,100,medium
99,SwissBorg,CHSB,93786371,0.1,"923,480,140",CHSB,538581,0.0435,0.0147,0.1911,4.35,1.47,19.11,100,medium
