Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,Size
647,Universa,UTNP,6008993,0,"3,157,976,430",UTNP,53165,0.0453,0.001,-0.1622,4.53,0.1,-16.22,100,small
648,T.OS,TOSC,5943403,0.01,"826,717,012",TOSC,1695,0.0011,-0.048,-0.0036,0.11,-4.8,-0.36,100,small
649,UniLend,UFT,5915706,0.55,"10,800,000",UFT,737483,0.0037,-0.0487,-0.232,0.37,-4.87,-23.2,100,small
650,Pluton,PLU,5910044,6.94,"852,000",PLU,104932,0.0025,0.0148,-0.1396,0.25,1.48,-13.96,100,small
651,Digix Gold Token,DGX,5885944,60.75,"96,883",DGX,8489,-0.0006,0.0013,-0.0316,-0.06,0.13,-3.16,100,small
652,Propy,PRO,5887760,0.08,"70,100,406",PRO,125109,0.0003,-0.0513,0.0366,0.03,-5.13,3.66,100,small
653,FLETA,FLETA,5848874,0.01,"1,072,093,398",FLETA,39045,-0.0063,0.0053,0.0031,-0.63,0.53,0.31,100,small
654,Peercoin,PPC,5604026,0.21,"26,606,534",PPC,25790,-0.0696,-0.034,-0.0278,-6.96,-3.4,-2.78,100,small
655,Ubiq,UBQ,5839142,0.14,"42,609,099",UBQ,1842,-0.0208,-0.0669,-0.0624,-2.08,-6.69,-6.24,100,small
656,EUNO,EUNO,5794895,0,"6,035,827,843",EUNO,7526,-0.2446,-0.1504,0.0338,-24.46,-15.04,3.38,100,small
657,Aryacoin,AYA,5760109,0.04,"160,459,559",AYA,146211,0.0034,-0.013,-0.1741,0.34,-1.3,-17.41,100,small
658,AppCoins,APPC,5725956,0.02,"246,203,092",APPC,97318,-0.0004,-0.0285,-0.0725,-0.04,-2.85,-7.25,100,small
659,Steem Dollars,SBD,5708439,0.99,"5,776,495",SBD,15808,0.0046,0.0008,0.0043,0.46,0.08,0.43,100,small
660,Leverj,LEV,5704680,0.05,"118,090,511",LEV,$?,0.0035,-0.0916,0.1029,0.35,-9.16,10.29,100,small
661,LCX,LCX,5707609,0.01,"548,087,302",LCX,590110,0.0291,-0.0104,-0.2626,2.91,-1.04,-26.26,100,small
662,BackPacker Coin,BPC,5654945,1.02,"5,535,520",BPC,10313,0.003,-0.0515,-0.0283,0.3,-5.15,-2.83,100,small
663,suterusu,SUTER,5645294,0,"1,624,038,000",SUTER,76585,0.0031,-0.0432,-0.112,0.31,-4.32,-11.2,100,small
664,Bread,BRD,5680786,0.06,"88,733,978",BRD,21268,0.0108,-0.0374,-0.0555,1.08,-3.74,-5.55,100,small
665,Burger Swap,BURGER,5596420,0.48,"11,591,163",BURGER,206182,0.0028,-0.0477,0.3162,0.28,-4.77,31.62,100,small
666,RING X PLATFORM,RINGX,5474126,0.05,"103,534,071",RINGX,72545,0.0072,0.0282,0.3054,0.72,2.82,30.54,100,small
667,POA,POA,5599134,0.02,"281,532,411",POA,96946,0.0268,-0.081,0.0444,2.68,-8.1,4.44,100,small
668,Genesis Vision,GVT,5556073,1.26,"4,426,883",GVT,396886,0.0079,0.0148,-0.0159,0.79,1.48,-1.59,100,small
669,HYCON,HYC,5511880,0,"2,300,028,904",HYC,1045327,0.0048,0.0056,0.0224,0.48,0.56,2.24,100,small
670,Wagerr,WGR,5465889,0.03,"194,911,264",WGR,5186,0.0013,0.1935,-0.2123,0.13,19.35,-21.23,100,small
671,DigitalNote,XDN,5440894,0,"4,871,448,773",XDN,7212,0.0012,-0.007,0.2026,0.12,-0.7,20.26,100,small
672,Particl,PART,5423564,0.56,"9,666,599",PART,3563,0.0028,0.0633,0.1312,0.28,6.33,13.12,100,small
673,Endor Protocol,EDR,5525689,0,"1,457,282,180",EDR,62317,0.0223,-0.0397,-0.0185,2.23,-3.97,-1.85,100,small
674,ODEM,ODE,5401422,0.02,"219,110,098",ODE,78446,0.0001,0.0285,0.0308,0.01,2.85,3.08,100,small
675,Effect.AI,EFX,5410637,0.02,"252,168,527",EFX,18602,0.0065,0.0129,0.0382,0.65,1.29,3.82,100,small
676,Origin Dollar,OUSD,5374981,1,"5,358,743",OUSD,15935,0.0001,-0.0042,0.0154,0.01,-0.42,1.54,100,small
677,Meme,MEME,4296117,153.43,"28,000",MEME,148560,0.0787,-0.1699,-0.1171,7.87,-16.99,-11.71,100,small
678,TronEuropeRewardCoin,TERC,5356964,0.02,"228,416,765",TERC,$?,0.0029,0.0345,0.1186,0.29,3.45,11.86,100,small
679,FOAM,FOAM,5301688,0.02,"301,448,050",FOAM,37234,0.0064,0.0207,-0.0258,0.64,2.07,-2.58,100,small
680,Lamden,TAU,4925900,0.03,"142,215,728",TAU,23812,0.0242,-0.1342,0.1673,2.42,-13.42,16.73,100,small
681,Aeon,AEON,5257118,0.33,"15,831,459",AEON,32729,0.0012,-0.0117,-0.0328,0.12,-1.17,-3.28,100,small
682,Unitrade,TRADE,5211906,0.21,"24,897,950",TRADE,144363,0.0032,-0.0439,-0.0935,0.32,-4.39,-9.35,100,small
683,Multi Channel Influencer Creater Cloud Funding Platform,MCI,5214204,0.01,"393,284,984",MCI,155884,0.0338,-0.0075,-0.12,3.38,-0.75,-12,100,small
684,USDQ,USDQ,5225351,0.95,"5,524,603",USDQ,2170,-0.032,0.0374,0.1251,-3.2,3.74,12.51,100,small
685,Bezant,BZNT,5218216,0.01,"878,299,993",BZNT,26637,-0.0031,-0.0406,0.0088,-0.31,-4.06,0.88,100,small
686,ColossusXT,COLX,5208104,0,"12,423,174,091",COLX,11,0.0002,0.0837,-0.0971,0.02,8.37,-9.71,100,small
687,EveryCoin,EVY,4822733,0,"9,380,000,000",EVY,388304,-0.2519,0.0439,-0.1447,-25.19,4.39,-14.47,100,small
688,TokenClub,TCT,5231865,0.01,"692,992,169",TCT,223111,0.0178,-0.0634,-0.0293,1.78,-6.34,-2.93,100,small
689,Atari Token,ATRI,5743198,0.08,"69,393,798",ATRI,10704,0.0229,0.0614,0.5121,2.29,6.14,51.21,100,small
690,Tokenomy,TEN,5144787,0.03,"200,000,000",TEN,395659,0.0079,0.0002,-0.0481,0.79,0.02,-4.81,100,small
691,DAOstack,GEN,5326366,0.11,"46,832,939",GEN,128915,0.0185,0.0989,-0.072,1.85,9.89,-7.2,100,small
692,Casino Betting Coin,CBC,5119367,0.03,"155,864,701",CBC,145040,-0.0007,-0.1985,-0.3485,-0.07,-19.85,-34.85,100,small
693,HUNT,HUNT,5166426,0.05,"110,357,399",HUNT,243316,0.0116,-0.0057,0.0525,1.16,-0.57,5.25,100,small
694,inSure,SURE,5103555,0,"3,553,989,974",SURE,3469,0.0012,-0.243,-0.3182,0.12,-24.3,-31.82,100,small
695,Zano,ZANO,5083698,0.49,"10,381,105",ZANO,41999,0.003,-0.0177,0.0011,0.3,-1.77,0.11,100,small
696,CryptoFranc,XCHF,5073125,1.07,"4,726,000",XCHF,16059,0.0031,-0.0085,-0.0421,0.31,-0.85,-4.21,100,small
697,Robonomics.network,XRT,5068282,7.27,"697,267",XRT,1102842,-0.0059,-0.0684,-0.3284,-0.59,-6.84,-32.84,100,small
698,Swace,SWACE,5058050,0.01,"513,292,589",SWACE,11252,-0.0271,0.1972,1.4225,-2.71,19.72,142.25,100,small
699,Sparkpoint,SRK,5041325,0,"6,423,010,625",SRK,90642,0.0007,-0.0601,0.0167,0.07,-6.01,1.67,100,small
700,qiibee,QBX,5013450,0.01,"785,529,689",QBX,441,0.0012,-0.007,-0.0183,0.12,-0.7,-1.83,100,small
702,Realio Network,RIO,5013580,0.76,"6,612,393",RIO,196611,0.0029,-0.0018,0.0333,0.29,-0.18,3.33,100,small
703,GameCredits,GAME,5002213,0.05,"100,799,886",GAME,27848,0.003,-0.0443,-0.0744,0.3,-4.43,-7.44,100,small
704,WePower,WPR,4946269,0.01,"674,917,907",WPR,143891,0.0007,-0.0505,0.0973,0.07,-5.05,9.73,100,small
705,dForce USDx,USDX,4940794,1,"4,943,038",USDX,3064,0.0001,0.0004,0.0053,0.01,0.04,0.53,100,small
706,CoinEx Token,CET,4932445,0.01,"708,633,582",CET,623379,-0.0307,-0.0358,-0.1465,-3.07,-3.58,-14.65,100,small
707,Krios,GIG,4909352,0.01,"499,994,072",GIG,394,0.0026,-0.0274,-0.0133,0.26,-2.74,-1.33,100,small
708,PumaPay,PMA,4919183,0,"26,476,422,231",PMA,1083098,0.029,-0.0037,-0.1936,2.9,-0.37,-19.36,100,small
709,Bitcoin Rhodium,XRC,4857405,3.96,"1,225,260",XRC,16411,0.0012,-0.0896,-0.1141,0.12,-8.96,-11.41,100,small
710,STATERA,STA,5025155,0.06,"85,012,106",STA,81036,-0.0005,-0.0103,-0.1679,-0.05,-1.03,-16.79,100,small
711,OAX,OAX,4838815,0.06,"75,071,494",OAX,176502,0.0037,0.0182,0.0283,0.37,1.82,2.83,100,small
712,Sentinel,SENT,4842572,0,"1,999,969,999",SENT,36069,0.0032,0.1616,0.5214,0.32,16.16,52.14,100,small
713,MOAC,MOAC,4837072,0.08,"62,463,334",MOAC,20512,-0.0076,-0.0084,-0.0382,-0.76,-0.84,-3.82,100,small
714,Epic Cash,EPIC,4508092,0.48,"9,409,536",EPIC,118534,-0.0343,0.2954,1.2524,-3.43,29.54,125.24,100,small
715,Spectre.ai Dividend Token,SXDT,4805994,0.06,"82,073,519",SXDT,375,0.0012,0.0324,-0.2553,0.12,3.24,-25.53,100,small
716,MIR COIN,MIR,4790823,0.01,"780,627,481",MIR,525623,-0.0037,-0.0314,-0.0701,-0.37,-3.14,-7.01,100,small
717,NaPoleonX,NPX,4745494,0.2,"24,320,139",NPX,$?,0.0001,0.0004,-0.3012,0.01,0.04,-30.12,100,small
718,PCHAIN,PI,4808992,0.01,"840,072,943",PI,13390,-0.0053,-0.0351,-0.0605,-0.53,-3.51,-6.05,100,small
719,Morpheus Labs,MITX,4696555,0.01,"420,999,999",MITX,656950,-0.0111,-0.0004,0.1157,-1.11,-0.04,11.57,100,small
720,Bibox Token,BIX,4721096,0.05,"87,533,664",BIX,24840126,0.0003,0.0082,0.0461,0.03,0.82,4.61,100,small
721,All Sports,SOC,4506486,0,"1,499,865,882",SOC,9957,0.0233,0.046,-0.0949,2.33,4.6,-9.49,100,small
722,Aragon Court,ANJ,4448144,0.04,"122,645,461",ANJ,369771,-0.0347,-0.0346,-0.0271,-3.47,-3.46,-2.71,100,small
723,Polybius,PLBT,4658336,1.17,"3,969,565",PLBT,3245,0.0018,-0.0035,0.0518,0.18,-0.35,5.18,100,small
724,INT,INT,4645714,0.01,"449,560,377",INT,1719856,0.0011,-0.0082,0.0429,0.11,-0.82,4.29,100,small
725,HyperDAO,HDAO,4565422,0.01,"384,121,912",HDAO,962057,0.1488,0.2577,0.1712,14.88,25.77,17.12,100,small
726,Dero,DERO,4667746,0.46,"10,161,576",DERO,335077,0.0041,-0.0137,-0.1317,0.41,-1.37,-13.17,100,small
727,Ferrum Network,FRM,4563621,0.03,"141,549,925",FRM,526983,0.0204,-0.0276,-0.2076,2.04,-2.76,-20.76,100,small
728,Mithril,MITH,4577167,0,"936,362,500",MITH,486759,0.0079,0.0067,-0.0516,0.79,0.67,-5.16,100,small
729,PolySwarm,NCT,4488489,0,"1,546,457,130",NCT,13658,-0.0782,0.0121,-0.037,-7.82,1.21,-3.7,100,small
730,Polis,POLIS,4526410,0.46,"9,831,891",POLIS,1871,0.0035,-0.0155,0.0256,0.35,-1.55,2.56,100,small
731,GridCoin,GRC,4527310,0.01,"409,277,843",GRC,919,0.003,-0.0156,-0.0472,0.3,-1.56,-4.72,100,small
732,REVV,REVV,4483798,0.02,"248,675,723",REVV,151949,0.0274,-0.025,0.0012,2.74,-2.5,0.12,100,small
733,SunContract,SNC,4487426,0.04,"122,707,503",SNC,468696,0.0079,-0.0415,0.0006,0.79,-4.15,0.06,100,small
734,DEAPcoin,DEP,4474806,0.01,"882,771,017",DEP,124354,0.0017,-0.0164,-0.0577,0.17,-1.64,-5.77,100,small
735,YOYOW,YOYOW,4498644,0.01,"487,188,721",YOYOW,86549,0.0097,-0.008,0.0678,0.97,-0.8,6.78,100,small
736,Phantasma,SOUL,3436875,0.06,"56,542,635",SOUL,67530,0.1338,-0.2217,-0.0672,13.38,-22.17,-6.72,100,small
737,Wings,WINGS,4405720,0.04,"99,999,994",WINGS,25469,0.0036,-0.1219,-0.079,0.36,-12.19,-7.9,100,small
738,Feathercoin,FTC,4408380,0.01,"298,131,000",FTC,185966,-0.0195,-0.0056,0.9866,-1.95,-0.56,98.66,100,small
739,Origo,OGO,4405111,0.01,"440,516,809",OGO,588510,0.0014,0.0237,-0.0389,0.14,2.37,-3.89,100,small
740,SmartCash,SMART,4360316,0,"1,413,859,298",SMART,45677,-0.0045,-0.0027,-0.03,-0.45,-0.27,-3,100,small
741,VNDC,VNDC,4348779,0,"101,920,252,781",VNDC,1035,-0.0059,-0.0282,-0.0187,-0.59,-2.82,-1.87,100,small
742,BitMart Token,BMX,4366159,0.03,"172,636,755",BMX,1456355,0.0107,-0.0163,-0.047,1.07,-1.63,-4.7,100,small
743,bitCNY,BITCNY,4309352,0.15,"28,245,600",BITCNY,13730016,-0.0005,-0.0004,0.0013,-0.05,-0.04,0.13,100,small
744,XYO,XYO,4270716,0,"12,844,821,266",XYO,1967,0.0004,-0.0529,0.2291,0.04,-5.29,22.91,100,small
745,Metrix Coin,MRX,4289967,0,"17,521,976,984",MRX,25460,-0.0277,-0.1416,-0.0696,-2.77,-14.16,-6.96,100,small
746,DigitalBits,XDB,4258043,0.01,"383,429,924",XDB,555329,0.0042,-0.0307,0.2152,0.42,-3.07,21.52,100,small
747,MicroBitcoin,MBC,4224466,0,"188,777,000,000",MBC,27,0.0026,-0.0273,0.6446,0.26,-2.73,64.46,100,small
748,BlackCoin,BLK,3789554,0.06,"60,307,349",BLK,37147,0.219,0.0855,0.0326,21.9,8.55,3.26,100,small
749,StakeCubeCoin,SCC,4159512,0.52,"8,053,168",SCC,869,-0.0028,-0.0628,0.0768,-0.28,-6.28,7.68,100,small
750,VIBE,VIBE,4193842,0.02,"260,136,427",VIBE,72601,0.013,0.0339,0.0307,1.3,3.39,3.07,100,small
751,Viacoin,VIA,4110842,0.18,"23,171,939",VIA,96731,0.0072,-0.1394,-0.1253,0.72,-13.94,-12.53,100,small
752,XIO,XIO,4092421,0.21,"19,437,533",XIO,222942,0.0013,-0.0729,0.0275,0.13,-7.29,2.75,100,small
753,BLOCKv,VEE,3880789,0,"2,989,942,418",VEE,283011,-0.0495,-0.1029,0.0476,-4.95,-10.29,4.76,100,small
754,Ruff,RUFF,4058602,0,"980,500,000",RUFF,602096,-0.0094,0.065,0.1692,-0.94,6.5,16.92,100,small
755,Wowbit,WWB,4033230,0.01,"277,777,778",WWB,$?,0.0012,-0.007,0.0308,0.12,-0.7,3.08,100,small
756,Blox,CDT,3965395,0.01,"674,579,184",CDT,110837,-0.0353,-0.059,-0.0734,-3.53,-5.9,-7.34,100,small
757,JD Coin,JDC,4023386,0.1,"41,537,911",JDC,10641,-0.3797,-0.3848,0.1777,-37.97,-38.48,17.77,100,small
758,Credit Tag Chain,CTC,4011058,0.07,"59,746,852",CTC,$?,0.0026,-0.0273,-0.0134,0.26,-2.73,-1.34,100,small
759,ECC,ECC,3990525,0,"25,000,000,000",ECC,$?,0.003,-0.0071,0.0307,0.3,-0.71,3.07,100,small
760,Gulden,NLG,3980345,0.01,"527,179,131",NLG,1983,0.0023,-0.0087,0.0816,0.23,-0.87,8.16,100,small
761,JustLiquidity,JUL,3972410,42.25,"94,024",JUL,406137,0.0018,0.0533,0.0394,0.18,5.33,3.94,100,small
762,Neumark,NEU,3960555,0.11,"35,696,829",NEU,123,0.0011,-0.0226,0.002,0.11,-2.26,0.2,100,small
763,ChronoCoin,CRN,3935828,0,"2,221,053,119",CRN,9806,0.0017,-0.0014,-0.0031,0.17,-0.14,-0.31,100,small
764,WeShow Token,WET,3914258,0.01,"463,851,903",WET,1370465,0.0021,-0.0864,-0.4646,0.21,-8.64,-46.46,100,small
765,INLOCK,ILK,3927071,0,"1,258,879,185",ILK,142,0.0026,0.0051,-0.0353,0.26,0.51,-3.53,100,small
766,CUTcoin,CUT,3909600,0.03,"120,113,089",CUT,15549,0.0012,0.0034,0.0062,0.12,0.34,0.62,100,small
767,PressOne,PRS,3800832,0.01,"284,742,628",PRS,56819,0.136,-0.1304,-0.1522,13.6,-13.04,-15.22,100,small
768,QunQun,QUN,3866112,0.01,"729,777,775",QUN,140815,0.002,0.1333,0.2682,0.2,13.33,26.82,100,small
769,Rapidz,RPZX,2248748,0,"1,717,254,284",RPZX,67979,0.4049,1.5003,-0.2245,40.49,150.03,-22.45,100,small
770,ALQO,XLQ,3869102,0.06,"64,664,324",XLQ,1496,0.0012,0.1529,0.6582,0.12,15.29,65.82,100,small
771,QLC Chain,QLC,3902653,0.02,"240,000,000",QLC,177202,0.0004,-0.016,0.1077,0.04,-1.6,10.77,100,small
772,ONOToken,ONOT,3831450,0,"17,942,419,249",ONOT,260,0.0001,0.7672,0.4708,0.01,76.72,47.08,100,small
773,SwftCoin,SWFTC,3817579,0,"4,004,999,999",SWFTC,4196846,0.0021,0.0012,-0.0067,0.21,0.12,-0.67,100,small
774,Bitrue Coin,BTR,3820336,0.04,"88,627,236",BTR,3004946,-0.0056,-0.0266,0.1012,-0.56,-2.66,10.12,100,small
775,Kryll,KRL,3811163,0.13,"30,000,443",KRL,28208,0.003,0.0589,0.147,0.3,5.89,14.7,100,small
777,Quiztok,QTCON,3783782,0.01,"356,861,628",QTCON,603359,0.0027,-0.0022,-0.0442,0.27,-0.22,-4.42,100,small
778,OneRoot Network,RNT,3837373,0.01,"284,073,817",RNT,323723,0.0151,0.0078,-0.0148,1.51,0.78,-1.48,100,small
779,Noku,NOKU,3786977,0.13,"29,733,709",NOKU,1367,0.0107,0.0151,-0.12,1.07,1.51,-12,100,small
780,Cred,LBA,3652492,0,"840,410,205",LBA,711854,0.0011,0.0126,-0.5086,0.11,1.26,-50.86,100,small
781,Bitcore,BTX,3740918,0.21,"17,958,309",BTX,85,0.0026,0.0026,0.0489,0.26,0.26,4.89,100,small
782,PANTHEON X,XPN,337207,0,"125,315,945",XPN,1858253,-0.0327,-0.8343,-0.9323,-3.27,-83.43,-93.23,100,small
783,PieDAO DOUGH v2,DOUGH,3717845,0.66,"5,646,014",DOUGH,18062,0.0042,-0.0605,-0.2171,0.42,-6.05,-21.71,100,small
784,Crust,CRU,3451800,3.84,"898,828",CRU,7638680,0.003,0.1084,0.1529,0.3,10.84,15.29,100,small
786,Etheroll,DICE,3692055,0.53,"7,001,623",DICE,$?,0.0019,-0.0516,0.0422,0.19,-5.16,4.22,100,small
787,APY.Finance,APY,3679391,0.51,"7,265,880",APY,1186787,-0.0409,-0.1358,0.12,-4.09,-13.58,12,100,small
788,Safe,SAFE,5872901,0.28,"20,835,499",SAFE,86525,0.6823,0.7331,0.2173,68.23,73.31,21.73,100,small
789,Sylo,SYLO,3625287,0,"2,431,617,492",SYLO,177256,0.0243,-0.0156,-0.1307,2.43,-1.56,-13.07,100,small
790,United Traders Token,UTT,3651536,0.1,"37,508,999",UTT,144,0.0006,-0.2468,0.0795,0.06,-24.68,7.95,100,small
791,SmartMesh,SMT,3640925,0,"1,340,519,343",SMT,150175,-0.0019,-0.0091,-0.0414,-0.19,-0.91,-4.14,100,small
792,BIZZCOIN,BIZZ,3635236,0.88,"4,120,339",BIZZ,92584,0.0082,-0.0164,-0.0532,0.82,-1.64,-5.32,100,small
793,Wootrade,WOO,3594410,0.03,"110,426,834",WOO,1523672,-0.0013,-0.0136,-0.0934,-0.13,-1.36,-9.34,100,small
794,Pillar,PLR,3569231,0.01,"259,348,201",PLR,10905,0.0006,0.0193,-0.0437,0.06,1.93,-4.37,100,small
795,Artfinity,AT,3602351,0.03,"124,689,207",AT,86415,-0.0005,0.0033,0.0312,-0.05,0.33,3.12,100,small
796,GeoDB,GEO,3604503,0.27,"13,309,739",GEO,141465,0.0001,-0.0034,0.0373,0.01,-0.34,3.73,100,small
797,InflationCoin,IFLT,3601444,0,"44,790,092,020",IFLT,$?,0.003,-0.4998,-0.4805,0.3,-49.98,-48.05,100,small
798,SynchroBitcoin,SNB,3594069,0.05,"79,371,465",SNB,39058,0.003,-0.8006,-0.7248,0.3,-80.06,-72.48,100,small
799,Monetha,MTH,3594247,0.01,"402,400,000",MTH,115168,0.2884,0.0711,0.092,28.84,7.11,9.2,100,small
800,NAGA,NGC,3582067,0.05,"71,960,165",NGC,5992,0.0011,-0.0994,-0.221,0.11,-9.94,-22.1,100,small
801,LINA,LINA,3738153,0.01,"303,774,967",LINA,11766,-0.0279,0.3582,0.5532,-2.79,35.82,55.32,100,small
802,VeriBlock,VBK,3557688,0.01,"675,677,955",VBK,3898,0.0012,0.0571,0.063,0.12,5.71,6.3,100,small
803,Game.com,GTC,3532815,0,"761,444,190",GTC,108349,-0.0079,-0.0279,-0.053,-0.79,-2.79,-5.3,100,small
804,SonoCoin,SONO,3533585,0.13,"28,250,407",SONO,$?,0.0001,0.0004,-0.0002,0.01,0.04,-0.02,100,small
805,SingularDTV,SNGLS,3637885,0.01,"600,000,000",SNGLS,83333,-0.0122,0.0081,0.1214,-1.22,0.81,12.14,100,small
806,Olive,OLE,3537294,0.01,"277,007,242",OLE,$?,0.003,-0.0071,0.0307,0.3,-0.71,3.07,100,small
807,SONM,SNM,3499964,0.01,"359,600,000",SNM,382037,0.0179,-0.0385,-0.0175,1.79,-3.85,-1.75,100,small
808,Telos,TLOS,3467688,0.01,"270,123,444",TLOS,23116,0.0203,-0.0837,-0.1482,2.03,-8.37,-14.82,100,small
809,ZrCoin,ZRC,3487454,0.7,"4,988,893",ZRC,122526,-0.0152,-0.0208,-0.0381,-1.52,-2.08,-3.81,100,small
810,Emirex Token,EMRX,3485652,0.13,"27,008,735",EMRX,239047,0.0002,0.0003,0.0499,0.02,0.03,4.99,100,small
811,Phore,PHR,3475504,0.15,"22,619,296",PHR,29762,-0.016,0.016,-0.2121,-1.6,1.6,-21.21,100,small
812,Nsure.Network,NSURE,3530731,0.62,"5,668,964",NSURE,3253717,0.0441,0.2506,0.7394,4.41,25.06,73.94,100,small
814,Flash,FLASH,3446417,0,"900,000,000",FLASH,381,0.0012,0.1917,0.0303,0.12,19.17,3.03,100,small
815,Genaro Network,GNX,3449688,0.01,"258,934,740",GNX,720009,0.0062,-0.0165,-0.0689,0.62,-1.65,-6.89,100,small
816,FLO,FLO,3428897,0.02,"152,351,008",FLO,29792,0.003,-0.0411,-0.0234,0.3,-4.11,-2.34,100,small
817,Idena,IDNA,3389625,0.1,"33,421,857",IDNA,47816,0.0065,0.0089,-0.1185,0.65,0.89,-11.85,100,small
818,Budbo,BUBO,3390054,0.04,"82,033,777",BUBO,$?,0.0012,-0.007,0.3615,0.12,-0.7,36.15,100,small
819,Burst,BURST,3389181,0,"2,108,825,960",BURST,7387,0.0013,-0.0013,0.1536,0.13,-0.13,15.36,100,small
820,DDKoin,DDK,3380683,1.98,"1,710,000",DDK,27758,0.0006,0.0232,-0.0274,0.06,2.32,-2.74,100,small
821,Egretia,EGT,3360174,0,"4,218,701,582",EGT,1801496,0.0058,-0.0106,0.0028,0.58,-1.06,0.28,100,small
822,DEX,DEX,3359051,0.02,"191,542,291",DEX,31279,0.0023,-0.0532,0.0421,0.23,-5.32,4.21,100,small
823,ZIMBOCASH,ZASH,3313522,0,"1,134,585,346",ZASH,29188,0.0011,-0.0203,0.1763,0.11,-2.03,17.63,100,small
824,YOU COIN,YOU,3305663,0.01,"556,120,198",YOU,83599,-0.008,0.0014,-0.0197,-0.8,0.14,-1.97,100,small
825,Anyswap,ANY,3278499,0.37,"8,747,261",ANY,569204,-0.0044,0.0174,-0.0161,-0.44,1.74,-1.61,100,small
826,Hydro Protocol,HOT,3302119,0,"702,000,000",HOT,577064,0.0997,0.2812,0.1196,9.97,28.12,11.96,100,small
827,Auctus,AUC,3270860,0.1,"31,203,949",AUC,11563,-0.0007,-0.0392,0.0852,-0.07,-3.92,8.52,100,small
828,DATA,DTA,3267749,0,"11,499,993,344",DTA,456843,0.0089,-0.0846,-0.0658,0.89,-8.46,-6.58,100,small
829,Block-Chain.com,BC,3273924,0.02,"207,261,797",BC,0.06,0.0012,-0.0169,-0.2864,0.12,-1.69,-28.64,100,small
830,SaTT,SATT,3254901,0,"3,013,952,680",SATT,160725,0.0003,-0.085,0.0818,0.03,-8.5,8.18,100,small
831,SENSO,SENSO,3257606,0.27,"12,241,334",SENSO,395726,0.0065,-0.0029,-0.0609,0.65,-0.29,-6.09,100,small
832,Spartan Protocol,SPARTA,3256615,0.08,"41,486,045",SPARTA,101290,0.0182,0.0998,0.8033,1.82,9.98,80.33,100,small
834,Kambria,KAT,3255817,0,"2,187,206,123",KAT,15114,0.0002,-0.1255,-0.0682,0.02,-12.55,-6.82,100,small
835,Agrello,DLT,3213195,0.03,"96,064,475",DLT,98241,0.0005,-0.0778,-0.1593,0.05,-7.78,-15.93,100,small
836,Kingdom Game 4.0,KDG,3233216,0.1,"31,080,481",KDG,1282396,0.0006,0.0538,0.0903,0.06,5.38,9.03,100,small
837,Cryptopay,CPAY,3211833,0.05,"68,372,364",CPAY,1410,0.0026,-0.07,-0.0374,0.26,-7,-3.74,100,small
838,Electronic Energy Coin,E2C,3670678,0.01,"433,657,273 E2",E2C,16076,0.1451,0.1789,1.0815,14.51,17.89,108.15,100,small
839,XTRABYTES,XBY,3156025,0.01,"430,000,000",XBY,348,0.0222,-0.007,-0.1379,2.22,-0.7,-13.79,100,small
840,Diamond,DMD,3445830,0.97,"3,544,874",DMD,17002,0.0375,0.2783,0.356,3.75,27.83,35.6,100,small
841,Robotina,ROX,3134992,0.01,"304,947,473",ROX,2422,-0.0926,-0.1198,-0.2204,-9.26,-11.98,-22.04,100,small
842,DODO,DODO,3134371,0.26,"11,951,414",DODO,117920,-0.0265,-0.0018,0.1813,-2.65,-0.18,18.13,100,small
843,Trade Token X,TIOX,3109317,0.04,"85,223,647",TIOX,$?,0.0017,-0.0139,0.4046,0.17,-1.39,40.46,100,small
844,Credits,CS,3152869,0.01,"249,368,300",CS,35340,0.0187,0.0359,0.0357,1.87,3.59,3.57,100,small
845,Earneo,RNO,3086779,0.01,"254,552,776",RNO,67,0.0012,-0.0324,0.0445,0.12,-3.24,4.45,100,small
846,Sense,SENSE,3078072,0,"804,604,783",SENSE,9,0.0189,0.1048,0.0931,1.89,10.48,9.31,100,small
847,Counterparty,XCP,3073265,1.18,"2,615,255",XCP,635,0.0001,-0.0163,-0.0134,0.01,-1.63,-1.34,100,small
848,EXMO Coin,EXM,3074115,0,"713,563,585",EXM,125804,0.0002,-0.0082,0.0243,0.02,-0.82,2.43,100,small
849,Viberate,VIB,3039323,0.02,"194,279,794",VIB,922486,-0.0028,0.0171,0.0567,-0.28,1.71,5.67,100,small
850,GMB,GMB,3078711,0.01,"517,356,899",GMB,27134,0.0155,0.0066,0.0061,1.55,0.66,0.61,100,small
851,Decentrahub Coin,DCNTR,3060816,4.28,"715,583",DCNTR,304372,0.0013,-0.0066,-0.0459,0.13,-0.66,-4.59,100,small
852,TEMCO,TEMCO,3028343,0,"3,264,225,050",TEMCO,115640,-0.0106,0.0084,0.0774,-1.06,0.84,7.74,100,small
853,Amoveo,VEO,3010669,44.25,"68,033",VEO,$?,0.0012,0.1969,0.0396,0.12,19.69,3.96,100,small
854,Frontier,FRONT,2983264,0.22,"13,330,007",FRONT,3629701,0.0044,0.0148,0.0038,0.44,1.48,0.38,100,small
855,DECOIN,DTEP,2981174,0.06,"53,855,903",DTEP,193260,0.0428,-0.2879,0.2113,4.28,-28.79,21.13,100,small
